ID,Sex,Age,New customer index,Customer seniority,Primary customer,Customer type,Customer relation,Activity index,Income
1375586,1,35,2,6,1,1,1,1,87218
1252611,2,23,2,35,1,1,2,2,35549
1252612,2,23,2,35,1,1,2,2,122179
1252613,1,22,2,35,1,1,2,2,119776
1252614,2,23,2,35,1,1,1,1,2
1252615,1,23,2,35,1,1,2,2,22222
1252616,1,23,2,35,1,1,2,2,295592
1252617,1,23,2,35,1,1,1,1,113317
1252619,1,24,2,35,1,1,2,2,2
1252622,1,23,2,35,1,1,2,2,113195
1252621,2,23,2,35,1,1,2,2,72576
1252622,1,23,2,35,1,1,2,2,2
1252623,1,23,2,35,1,1,1,1,113539
1252624,1,65,2,35,1,1,1,1,61625
1252625,2,23,2,35,1,1,1,1,2
1252626,2,23,2,35,1,1,1,1,2
1252612,2,24,2,35,1,1,2,1,68318
1252627,1,23,2,35,1,1,2,2,65628
1252629,1,22,2,35,1,1,2,1,73432
1252625,2,23,2,35,1,1,2,2,2
1252582,2,28,2,35,1,1,2,1,64621
1252586,2,23,2,35,1,1,1,1,64195
1252588,1,22,2,35,1,1,2,1,2
1252589,2,23,2,35,1,1,2,2,119174
1252591,1,23,2,35,1,1,1,1,58728
1252592,1,22,2,35,1,1,2,2,2
1252595,2,25,2,35,1,1,1,1,86863
1252596,1,25,2,35,1,1,1,1,68421
1252597,1,23,2,35,1,1,1,2,2
1252598,1,23,2,35,1,1,1,1,92429
1252599,2,24,2,35,1,1,2,2,74782
1252621,2,26,2,35,1,1,2,2,122146
1252622,2,23,2,35,1,1,1,1,91283
1252623,1,23,2,35,1,1,2,1,131352
1252624,1,53,2,35,1,1,1,2,113279
1252627,2,27,2,35,1,1,2,2,72778
1252582,1,23,2,35,1,1,1,1,77321
1252628,2,22,2,35,1,1,2,2,2
1252632,2,22,2,35,1,1,2,2,64398
1252669,2,32,2,35,1,1,1,1,171399
1252672,2,37,2,35,1,1,1,1,64231
1252676,2,31,2,35,1,1,1,2,92432
1252679,2,39,2,35,1,1,1,1,157192
1252682,2,53,2,35,1,1,1,2,133292
1252686,2,39,2,35,1,1,1,1,37275
1252688,2,63,2,35,1,1,1,1,245252
1252693,2,37,2,35,1,1,1,2,124235
1252694,2,31,2,35,1,1,1,1,57155
1252697,1,33,2,35,1,1,1,1,2
1252723,2,23,2,35,1,1,2,2,53631
1252724,2,23,2,35,1,1,2,2,72881
1252726,1,33,2,35,1,1,2,1,84262
1252727,2,23,2,35,1,1,2,2,126687
1252712,1,23,2,35,1,1,2,2,132398
1252663,1,23,2,35,1,1,1,1,148282
1252629,2,55,2,35,1,1,2,2,121919
1252662,2,37,2,35,1,1,1,1,122457
1252662,1,32,2,35,1,1,1,1,94683
1252632,1,23,2,35,1,1,2,2,289211
1252633,2,23,2,35,1,1,1,1,34427
1252634,1,55,2,35,1,1,2,2,121919
1252635,2,23,2,35,1,1,1,1,77347
1252636,1,23,2,35,1,1,1,1,136932
1252639,2,23,2,35,1,1,1,1,148677
1252641,2,42,2,35,1,1,1,1,45345
1252642,2,58,2,35,1,1,2,2,2
1252647,1,38,2,35,1,1,1,1,28359
1252648,2,52,2,35,1,1,1,1,137895
1252651,1,32,2,35,1,1,1,1,139522
1252652,1,31,2,35,1,1,1,1,149122
1252655,1,45,2,35,1,1,1,1,95323
1252658,1,44,2,35,1,1,2,2,112246
1252659,2,39,2,35,1,1,1,1,2
1252661,2,37,2,35,1,1,1,1,62273
1252711,2,23,2,35,1,1,2,2,2
1252579,1,27,2,35,1,1,2,2,34822
1252577,1,23,2,35,1,1,1,1,79999
1252527,2,27,2,35,1,1,1,1,55331
1252528,1,27,2,35,1,1,1,1,173224
1252529,1,23,2,35,1,1,2,2,47333
1252511,1,23,2,35,1,1,2,1,111933
1252512,1,31,2,35,1,1,2,2,127635
1252513,2,23,2,35,1,1,2,2,55562
1252514,1,28,2,35,1,1,2,2,215373
1252515,1,23,2,35,1,1,2,2,64258
1252516,1,24,2,35,1,1,2,2,2
1252517,2,27,2,35,1,1,1,1,59932
1252522,2,23,2,35,1,1,2,2,162612
1252521,1,23,2,35,1,1,2,1,74728
1252522,2,25,2,35,1,1,2,2,68156
1252523,1,24,2,35,1,1,2,2,77384
1252524,2,25,2,35,1,1,2,2,56348
